action,file,status,error
"DELETED","docs/audit/versioned-functions-cleanup.md","SUCCESS",""
"DELETED","docs/realtime-stability-implementation.md","SUCCESS",""
"DELETED","docs/repeated-message-fetching-fix-summary.md","SUCCESS",""
"DELETED","docs/changes/revert-rollups-summary.md","SUCCESS",""
"DELETED","docs/implementations/BULK_INVITATIONS_ERROR_FIXES.md","SUCCESS",""
"DELETED","docs/implementations/HOST_DASHBOARD_ATTENDANCE_COUNTS_FIX.md","SUCCESS",""
"DELETED","docs/implementations/UNIFIED_BULK_INVITATIONS_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/MODIFY_FLOW_AUDIENCE_DELIVERY_FIX.md","SUCCESS",""
"DELETED","docs/implementations/MODIFY_FLOW_QA_HARDENING.md","SUCCESS",""
"DELETED","docs/audits/guest-header-audit.md","SUCCESS",""
"DELETED","docs/changes/remove-email-summary.md","SUCCESS",""
"DELETED","docs/DOCUMENTATION_CONSOLIDATION_SUMMARY.md","SUCCESS",""
"DELETED","docs/DOCUMENTATION_REORGANIZATION_SUMMARY.md","SUCCESS",""
"DELETED","docs/SMS_BRANDING_CONFIG.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/AUDIT_SUMMARY.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/PHASE_1_COMPLETION_SUMMARY.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/docs-component-library-implementation.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-COMPLETION_SUMMARY.md","SUCCESS",""
"DELETED","docs/audits/GUEST_MESSAGES_ACCESS_CONTROL_FIX.md","SUCCESS",""
"DELETED","docs/audits/GUEST_MESSAGES_FIX_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/debugging/COMPLETE_SMS_SOLUTION.md","SUCCESS",""
"DELETED","docs/dev-tools-implementation-summary.md","SUCCESS",""
"DELETED","docs/development/mobile-responsive-improvements.md","SUCCESS",""
"DELETED","docs/features/event-timezone-implementation.md","SUCCESS",""
"DELETED","docs/features/guest-message-join-boundary.md","SUCCESS",""
"DELETED","docs/features/rsvp-lite-implementation-summary.md","SUCCESS",""
"DELETED","docs/guest-management/guest-management-improvement-plan.md","SUCCESS",""
"DELETED","docs/guest-management/guest-management-phase1-completion.md","SUCCESS",""
"DELETED","docs/guest-management/guest-management-phase2-completion.md","SUCCESS",""
"DELETED","docs/guest-management/guest-management-phase3-completion.md","SUCCESS",""
"DELETED","docs/implementations/COMPOSE_MESSAGE_RECIPIENTS_UPDATE_SUMMARY.md","SUCCESS",""
"DELETED","docs/implementations/EVENT_MEMBERSHIP_CONSISTENCY_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/GUEST_MANAGEMENT_ADD_NOW_INVITE_LATER_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/INVITE_SMS_CHANGES_SUMMARY.md","SUCCESS",""
"DELETED","docs/implementations/INVITE_TIMESTAMP_FIX_SUMMARY.md","SUCCESS",""
"DELETED","docs/implementations/MESSAGE_TIMESTAMP_HUMAN_FRIENDLY_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/ONE_TAP_INVITE_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/ONE_TAP_INVITE_SMS_TEMPLATE_UPDATE.md","SUCCESS",""
"DELETED","docs/implementations/PHASE_1_HARDENING_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/RSVP_LITE_IMPLEMENTATION_COMPLETE.md","SUCCESS",""
"DELETED","docs/implementations/SCROLL_FIX_SUMMARY.md","SUCCESS",""
"DELETED","docs/implementations/SIMPLIFIED_GUEST_CARD_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/SINGLE_SOURCE_OF_TRUTH_IMPLEMENTATION_SUMMARY.md","SUCCESS",""
"DELETED","docs/implementations/SMS_NOTIFICATION_TOGGLE_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/TOAST_CONFIRMATION_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/UNIFIED_GUEST_COUNTS_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/UNIFIED_MESSAGING_RECIPIENTS_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/UNIFORM_HEADER_CHIP_IMPLEMENTATION.md","SUCCESS",""
"DELETED","docs/implementations/guest-display-name-implementation.md","SUCCESS",""
"DELETED","docs/implementations/hybrid-display-name-solution.md","SUCCESS",""
"DELETED","docs/implementations/index.md","SUCCESS",""
"DELETED","docs/messages-readmodel-implementation-plan.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/FINAL-SUMMARY.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/host-composer-implementation.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/implementation-summary.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/plan.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/segmented-control-final.md","SUCCESS",""
"DELETED","docs/messages-readmodel-v2/segmented-control-implementation.md","SUCCESS",""
"DELETED","docs/messages-visibility-fix.md","SUCCESS",""
"DELETED","docs/modules/event-messages-pagination-notes.md","SUCCESS",""
"DELETED","docs/performance/CONSOLIDATION_SUMMARY.md","SUCCESS",""
"DELETED","docs/performance/documentation/PERFORMANCE_UPDATE.md","SUCCESS",""
"DELETED","docs/performance/documentation/PERFORMANCE_WEEK3_REPORT.md","SUCCESS",""
"DELETED","docs/performance/documentation/WEEK4_COMPLETION_SUMMARY.md","SUCCESS",""
"DELETED","docs/phases/PHASE_1_SUMMARY.md","SUCCESS",""
"DELETED","docs/phases/PHASE_2_SUMMARY.md","SUCCESS",""
"DELETED","docs/project/REFACTORING_SUMMARY.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-development-mode-auth-implementation.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-phone-migration-summary.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-refactoring-summary.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-security-enhancements-summary.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-session-summary-testing-setup.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-simplification-implementation-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-unified-phone-auth-implementation.md","SUCCESS",""
"DELETED","docs/archive/unveil-mvp-rebuild-plan.md","SUCCESS",""
"DELETED","docs/archive/DEV_REMOVAL_CLEANUP.md","SUCCESS",""
"DELETED","docs/archive/PHASE_4_COMPLETION_REPORT.md","SUCCESS",""
"DELETED","docs/archive/SYSTEM_AUDIT_AND_REFACTOR_PLAN.md","SUCCESS",""
"DELETED","docs/archive/index.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/CLEANUP_RECOMMENDATIONS.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/OPTIMIZATION_PLAN.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/STRATEGIC_OVERVIEW.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/unveil-codebase-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/00-OVERVIEW/unveil-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-architecture-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-developer-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-import-optimization-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-messaging-system-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-security-notes.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-troubleshooting-messaging.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/docs-HOST_DASHBOARD.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/docs-PHASE_6_COMPLETION_REPORT.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/02-PRODUCT/plans-Phase-7-Final-Integration-Plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/docs-unveil-design-system.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-UIUX-ExecutionPlan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-brand.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-style-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/03-DESIGN/reference-voice.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-documentation-changelog.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-production-environment-setup.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-storage-bucket-setup-guide.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-refactor-roadmap.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-host-dashboard-refactor.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-messaging-project-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-navigation-enhancements.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-participant-consolidation-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-supabase-schema-remediation-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-ui-standardization.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-project-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-recovery-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-simplified-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/CLAUDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-MVP-ProjectPlan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/07-FUTURE/phase-6-observability-plan.md","SUCCESS",""
"DELETED","docs/archive/project-plans/improve-app-performance.md","SUCCESS",""
"DELETED","docs/archive/stale-docs/DEVELOPMENT_GUIDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-NAVIGATION_SYSTEM.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-mcp-schema-binding.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-mcp-supabase-setup.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/01-ENGINEERING/docs-testing-infrastructure.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-SMS_SETUP_GUIDE.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/04-OPERATIONS/docs-test-user-management.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-REFACTOR_PLAN.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-phone-first-auth-refactor-plan.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/05-ARCHIVE/archive-schema-simplification-audit.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/docs-rules.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-ideas-log.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-quick-reference.md","SUCCESS",""
"DELETED","docs/archive/project-docs-legacy/06-REFERENCE/reference-risk-matrix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-schema.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-integrity.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/db-health/2025-01-31-visibility.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/changes/db-health-summary.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-timezone-utc-bug-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-timezone-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-variable-order-fix.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-date-grouping-restoration.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/message-history-exploratory-audit.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-implementation-complete.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-standardization-implementation-plan.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/event-tag-sms-first-class-field-audit.md","SUCCESS",""
"MERGED_SOURCE_DELETED","docs/audits/guest-invite-sms-audit-2025-01-30.md","SUCCESS",""