path,title,lastModified,wordCount,size,links,category
"docs/reports/docs_audit_20250915.md","Unveil Documentation Audit Report","2025-09-15",1128,10256,0,"audit"
"docs/reports/platform_readiness_20250915.md","Unveil Platform Readiness Assessment","2025-09-15",1405,10876,0,"report"
"docs/reports/rls_opt_20250115.md","RLS Optimization Report - Behavior-Preserving Performance Enhancement","2025-09-15",1276,10390,0,"performance"
"docs/reports/unveil_health_audit_20250115.md","Unveil App — Full Codebase & Database Health Audit","2025-09-15",2450,17755,0,"audit"
"docs/architecture/ARCHITECTURE.md","Unveil Architecture Guide","2025-08-27",2346,19993,1,"architecture"
"docs/audit/realtime-holistic-review.md","Realtime Module — Idle/Reconnect Holistic Review","2025-08-27",1399,11641,0,"audit"
"docs/audit/versioned-functions-cleanup.md","Versioned Functions Cleanup Summary","2025-08-27",784,6360,1,"audit"
"docs/audit/versioned-functions-inventory.md","Versioned Functions Inventory & Dependency Map","2025-08-27",1289,9320,0,"audit"
"docs/realtime-memory-leak-fixes.md","Realtime Memory Leak Fixes","2025-08-27",629,5198,0,"other"
"docs/realtime-stability-hotfix.md","Realtime Stability Hotfix","2025-08-27",599,4959,0,"other"
"docs/realtime-stability-implementation.md","Realtime Stability Implementation Summary","2025-08-27",870,7106,0,"implementation"
"docs/repeated-message-fetching-fix-summary.md","Repeated Message Fetching Fix Summary","2025-08-27",643,4976,0,"summary"
"docs/audits/db-health/2025-01-31-integrity.md","Database Integrity Audit Report","2025-08-26",761,6050,0,"audit"
"docs/audits/db-health/2025-01-31-schema.md","Database Schema Audit Report","2025-08-26",579,4814,0,"audit"
"docs/audits/db-health/2025-01-31-visibility.md","Announcements Visibility Audit Report","2025-08-26",793,6167,0,"audit"
"docs/audits/rollups/usage-inventory.md","Rollups Revert - Usage Inventory","2025-08-26",328,2919,0,"audit"
"docs/audits/rpc_md_delivery_status_report.md","RPC Column Reference Fix Report","2025-08-26",418,3511,0,"audit"
"docs/changes/db-health-summary.md","Database Health Audit Summary","2025-08-26",850,6397,0,"audit"
"docs/changes/revert-rollups-summary.md","Rollups Revert Summary","2025-08-26",267,2114,0,"summary"
"docs/audits/bulk-vs-single-invitations.md","Bulk Invitations — End-to-End Trace (UI→RPC→DB→Twilio) + Single-Invite Diff","2025-08-25",1576,13662,0,"audit"
"docs/implementations/BULK_INVITATIONS_ERROR_FIXES.md","Bulk Invitations Error Fixes","2025-08-25",557,4449,0,"implementation"
"docs/implementations/HOST_DASHBOARD_ATTENDANCE_COUNTS_FIX.md","Host Dashboard Attendance Counts Fix + Bulk Invite Modal Polish","2025-08-25",796,6212,0,"implementation"
"docs/implementations/UNIFIED_BULK_INVITATIONS_IMPLEMENTATION.md","Unified Bulk Invitations Implementation","2025-08-25",1065,8544,0,"implementation"
"docs/MODIFY_ALWAYS_ON_ROLLOUT.md","Modify Flow — Always-On Rollout (Feature Flag Removed)","2025-08-24",849,6699,0,"other"
"docs/MODIFY_FLOW_FIX_SUMMARY.md","Modify Flow Fix — Eliminate ""Message Sent Successfully"" Mis-route","2025-08-24",871,6911,0,"summary"
"docs/SCHEDULED_MESSAGE_MODIFY_FEATURE.md","Scheduled Message Cancel & Modify Feature","2025-08-24",835,6124,0,"other"
"docs/audits/event-tag-implementation-complete.md","✅ Event Tag Standardization Implementation — COMPLETE","2025-08-24",946,7111,0,"implementation"
"docs/audits/event-tag-sms-first-class-field-audit.md","Event Creation — Make ""Event Tag for SMS"" a First-Class, Required Field","2025-08-24",1403,10369,0,"audit"
"docs/audits/event-tag-standardization-implementation-plan.md","Event Creation & SMS Tag — Standardize, Require, and Align Constraints (20-char, colon format)","2025-08-24",1278,9880,0,"implementation"
"docs/audits/guest-invite-sms-audit-2025-01-30.md","Guest Invite SMS — Copy, Length & Segmentation Audit","2025-08-24",1446,10582,0,"audit"
"docs/audits/guest-invite-sms-single-segment-update-2025-01-30.md","Guest Invite SMS — Single Segment Optimization Update","2025-08-24",1113,7637,0,"audit"
"docs/audits/message-history-date-grouping-restoration.md","Message History — Date Grouping Restoration Report","2025-08-24",542,4038,0,"audit"
"docs/audits/message-history-exploratory-audit.md","Message History — Exploratory Audit Report","2025-08-24",1221,10181,0,"audit"
"docs/audits/message-history-timezone-fix.md","Message History — Timezone Calculation Fix","2025-08-24",696,5388,0,"audit"
"docs/audits/message-history-timezone-utc-bug-fix.md","Message History — UTC vs Local Time Bug Fix","2025-08-24",577,3960,0,"audit"
"docs/audits/message-history-variable-order-fix.md","Message History — Variable Declaration Order Fix","2025-08-24",309,2474,0,"audit"
"docs/audits/modify-button-end-to-end-walkthrough.md","Modify Button — End-to-End Walkthrough (UI → RPC → DB → Realtime)","2025-08-24",1915,17186,0,"audit"
"docs/development/DEPLOYMENT.md","🔧 Production Environment Setup Guide","2025-08-24",659,5749,0,"development"
"docs/implementations/MODIFY_FLOW_AUDIENCE_DELIVERY_FIX.md","Modify Flow — Audience Prefill + Delivery Mode Fix Implementation","2025-08-24",1147,9724,0,"implementation"
"docs/implementations/MODIFY_FLOW_QA_HARDENING.md","Modify Flow — Post-ship QA & Hardening Implementation","2025-08-24",1309,11687,0,"implementation"
"docs/troubleshooting/CRON_AUTHENTICATION_GUIDE.md","🔧 Cron Authentication Troubleshooting Guide","2025-08-24",1017,8051,0,"other"
"docs/audits/guest-header-audit.md","Guest Event Header — Implementation Audit & Simplification Recommendations","2025-08-23",1136,8759,0,"implementation"
"docs/audits/remove-email/db-inventory.md","Database Email Inventory - Schema Audit","2025-08-23",1010,7865,0,"audit"
"docs/audits/remove-email/usage-inventory.md","Email Usage Inventory - Code Audit","2025-08-23",783,6574,0,"audit"
"docs/changes/remove-email-summary.md","Email Removal Summary - Phone-Only MVP","2025-08-23",1186,9250,0,"summary"
"docs/flags.md","Feature Flags — Centralized Management & Policy","2025-08-23",876,6611,3,"other"
"docs/identity.md","Identity & Authentication","2025-08-23",733,5120,0,"other"
"docs/DOCUMENTATION_CONSOLIDATION_SUMMARY.md","📚 Documentation Consolidation - Complete","2025-08-22",1103,9461,0,"summary"
"docs/DOCUMENTATION_REORGANIZATION_SUMMARY.md","Documentation Reorganization Summary","2025-08-22",713,6690,0,"summary"
"docs/FINAL_PERFORMANCE_REVIEW.md","🎯 Final Performance Review - Unveil App","2025-08-22",1328,9686,0,"performance"
"docs/README.md","📚 Unveil Documentation Center","2025-08-22",1167,12937,41,"other"
"docs/SMS_BRANDING_CONFIG.md","SMS Branding Configuration","2025-08-22",305,2210,0,"other"
"docs/access/roles/delegated-hosts.md","Delegated Hosts in Unveil","2025-08-22",1420,11619,0,"other"
"docs/architecture/DESIGN_SYSTEM.md","Unveil Design System Specification","2025-08-22",1201,9216,0,"architecture"
"docs/architecture/SECURITY.md","🔒 Unveil Security Documentation","2025-08-22",710,5784,4,"architecture"
"docs/architecture/event-creation-complete-guide.md","🧭 Complete Mental Model: Event Creation in Unveil","2025-08-22",1469,11840,8,"architecture"
"docs/architecture/event-creation-flow.md","Event Creation Flow Architecture","2025-08-22",1274,13500,0,"architecture"
"docs/architecture/guest-import.md","Guest Import System Architecture","2025-08-22",1867,17684,0,"architecture"
"docs/architecture/index.md","Architecture Documentation","2025-08-22",120,1016,0,"architecture"
"docs/architecture/user-auth-flow.md","Unveil User Authentication & Authorization Flow","2025-08-22",1931,15233,7,"architecture"
"docs/archive/DEV_REMOVAL_CLEANUP.md","Development Functionality Removal Report","2025-08-22",814,6698,0,"development"
"docs/archive/PHASE_4_COMPLETION_REPORT.md","🚀 PHASE 4 COMPLETION REPORT","2025-08-22",916,6795,0,"report"
"docs/archive/SYSTEM_AUDIT_AND_REFACTOR_PLAN.md","📦 UNVEIL MVP - POST-RESET CODEBASE AUDIT & REFACTOR PLAN","2025-08-22",1001,7926,0,"audit"
"docs/archive/index.md","Archived Documentation","2025-08-22",231,1931,0,"other"
"docs/archive/project-docs-legacy/00-OVERVIEW/AUDIT_SUMMARY.md","Unveil Codebase Comprehensive Audit Summary","2025-08-22",939,7316,1,"audit"
"docs/archive/project-docs-legacy/00-OVERVIEW/CLEANUP_RECOMMENDATIONS.md","🧹 Documentation Cleanup Recommendations","2025-08-22",918,8123,0,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/OPTIMIZATION_PLAN.md","📈 Project-Docs Optimization Plan","2025-08-22",1040,9347,0,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/PHASE_1_COMPLETION_SUMMARY.md","Phase 1 Completion Summary - Foundation Cleanup","2025-08-22",778,6228,0,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/README.md","📚 Unveil Product & Engineering Documentation","2025-08-22",883,8800,47,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/STRATEGIC_OVERVIEW.md","🎯 Unveil Strategic Overview","2025-08-22",777,6211,9,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/unveil-codebase-refactor-plan.md","Unveil Codebase Refactor Plan","2025-08-22",2354,19475,6,"project"
"docs/archive/project-docs-legacy/00-OVERVIEW/unveil-refactor-plan.md","Unveil Comprehensive Refactor Plan","2025-08-22",1387,9572,0,"project"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-architecture-guide.md","Unveil Architecture Guide","2025-08-22",2316,19723,1,"architecture"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-developer-guide.md","Unveil Developer Guide","2025-08-22",1828,15293,10,"project"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-import-optimization-guide.md","Import/Export Optimization Guide","2025-08-22",830,6324,0,"project"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-messaging-system-guide.md","📬 Unveil Messaging System Guide","2025-08-22",1267,10703,6,"project"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-security-notes.md","🔒 Unveil Security Documentation","2025-08-22",710,5784,4,"project"
"docs/archive/project-docs-legacy/01-ENGINEERING/docs-troubleshooting-messaging.md","🔧 Messaging System Troubleshooting Guide","2025-08-22",1702,13531,0,"project"
"docs/archive/project-docs-legacy/02-PRODUCT/docs-HOST_DASHBOARD.md","Host Dashboard Documentation","2025-08-22",1557,13482,0,"project"
"docs/archive/project-docs-legacy/02-PRODUCT/docs-PHASE_6_COMPLETION_REPORT.md","Phase 6: Testing, Optimization & Documentation - Completion Report","2025-08-22",1423,11666,0,"project"
"docs/archive/project-docs-legacy/02-PRODUCT/plans-Phase-7-Final-Integration-Plan.md","📦 Phase 7: Final Integration & Testing","2025-08-22",3133,24353,0,"project"
"docs/archive/project-docs-legacy/03-DESIGN/docs-component-library-implementation.md","Unveil UI Component Library Implementation","2025-08-22",1152,9510,0,"implementation"
"docs/archive/project-docs-legacy/03-DESIGN/docs-unveil-design-system.md","Unveil Design System Specification","2025-08-22",1201,9216,0,"project"
"docs/archive/project-docs-legacy/03-DESIGN/reference-UIUX-ExecutionPlan.md","Unveil UI/UX Execution Plan","2025-08-22",1437,11360,0,"project"
"docs/archive/project-docs-legacy/03-DESIGN/reference-brand.md","Unveil – Living Brand Brief","2025-08-22",331,2283,0,"project"
"docs/archive/project-docs-legacy/03-DESIGN/reference-style-guide.md","Unveil Style Guide - Updated Design System","2025-08-22",828,6485,0,"project"
"docs/archive/project-docs-legacy/03-DESIGN/reference-voice.md","Unveil – Voice & Naming Guide","2025-08-22",483,3213,0,"project"
"docs/archive/project-docs-legacy/04-OPERATIONS/docs-documentation-changelog.md","Documentation Changelog","2025-08-22",453,3992,0,"project"
"docs/archive/project-docs-legacy/04-OPERATIONS/docs-production-environment-setup.md","🔧 Production Environment Setup Guide","2025-08-22",296,2730,0,"project"
"docs/archive/project-docs-legacy/04-OPERATIONS/docs-storage-bucket-setup-guide.md","🗄️ Supabase Storage Bucket Setup Guide","2025-08-22",556,3969,1,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/archive-COMPLETION_SUMMARY.md","Unveil App Refactoring - Completion Summary","2025-08-22",1009,7754,3,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/archive-README.md","Documentation Archive","2025-08-22",145,1343,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/archive-refactor-roadmap.md","Unveil Refactor Roadmap","2025-08-22",2579,19332,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/docs-README.md","📚 Unveil Documentation Index","2025-08-22",663,7882,33,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-host-dashboard-refactor.md","Host Dashboard Refactor - MVP Focus","2025-08-22",4885,37948,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-messaging-project-plan.md","Unveil Guest Communication Module - Project Plan","2025-08-22",5641,44222,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-navigation-enhancements.md","Navigation Enhancements Project Plan","2025-08-22",1648,12504,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-participant-consolidation-plan.md","🧩 Project Plan: Consolidate Participants into Guests","2025-08-22",2057,14147,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-supabase-schema-remediation-plan.md","Supabase Schema Remediation Project Plan","2025-08-22",3963,30240,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-ui-standardization.md","Unveil UI Standardization Project Plan","2025-08-22",1469,10471,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-project-plan.md","📌 Unveil Website Project Plan","2025-08-22",2332,16995,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-recovery-plan.md","Unveil Marketing Website - Recovery Plan","2025-08-22",1426,10409,0,"project"
"docs/archive/project-docs-legacy/05-ARCHIVE/plans-unveil-website-simplified-plan.md","🎯 Unveil Website Simplified Redesign Plan","2025-08-22",3188,23211,0,"project"
"docs/archive/project-docs-legacy/06-REFERENCE/CLAUDE.md","CLAUDE.md","2025-08-22",1268,9377,0,"project"
"docs/archive/project-docs-legacy/06-REFERENCE/reference-MVP-ProjectPlan.md","🎯 Unveil Wedding App - MVP Project Plan","2025-08-22",3358,25059,0,"project"
"docs/archive/project-docs-legacy/06-REFERENCE/reference-README.md","Brand & Creative Reference","2025-08-22",162,1209,0,"project"
"docs/archive/project-docs-legacy/07-FUTURE/phase-6-observability-plan.md","Phase 6: Observability & Testing (Planning)","2025-08-22",931,7088,0,"project"
"docs/archive/project-plans/improve-app-performance.md","🚀 Improve App Performance — Project Plan","2025-08-22",1326,9581,0,"performance"
"docs/audits/GUEST_MESSAGES_ACCESS_CONTROL_FIX.md","Guest Messages Access Control Fix - Complete Solution","2025-08-22",522,3821,0,"audit"
"docs/audits/GUEST_MESSAGES_FIX_IMPLEMENTATION.md","Guest Event Messages Feed Fix - Implementation Summary","2025-08-22",447,3642,0,"implementation"
"docs/audits/INVITABLE_GUESTS_INVESTIGATION_FINDINGS.md","Invitable Guests Investigation Findings","2025-08-22",619,4751,0,"audit"
"docs/audits/MAINTAINABILITY_AUDIT_REPORT.md","Unveil App Maintainability Audit Report","2025-08-22",1084,8347,1,"audit"
"docs/audits/MEMBERSHIP_CONSISTENCY_DISCOVERY_NOTES.md","Event Membership Consistency - Discovery Notes","2025-08-22",355,2644,0,"audit"
"docs/audits/architecture-review-guest-display-names.md","🏗️ Comprehensive Architecture Review: Guest Display Names","2025-08-22",1257,10086,0,"audit"
"docs/audits/event-access-visibility.md","Event Access & Visibility — End-to-End Audit Report","2025-08-22",2265,19332,0,"audit"
"docs/audits/event-creation-audit.md","Event Creation System Audit","2025-08-22",1696,14015,0,"audit"
"docs/audits/index.md","Audits Documentation","2025-08-22",217,1900,8,"audit"
"docs/audits/repo-docs-and-migrations-audit.md","Repository Documentation & SQL Migrations Audit Report","2025-08-22",1348,10778,0,"audit"
"docs/auth-otp-resend.md","OTP Resend Functionality","2025-08-22",633,4457,0,"other"
"docs/database/auto-link-audit-retention.md","Auto-Link Audit Retention Strategy","2025-08-22",418,3287,0,"audit"
"docs/database/auto-link-quick-reference.md","Auto-Link User ID Quick Reference","2025-08-22",518,4017,0,"other"
"docs/database/auto-link-user-by-phone.md","Auto-Link User ID by Phone System","2025-08-22",1030,8019,0,"other"
"docs/database/orphaned-deliveries-fix-report.md","Orphaned Deliveries Fix Report","2025-08-22",564,4642,0,"report"
"docs/database/user-id-auto-population.md","User ID Auto-Population System","2025-08-22",771,5914,0,"other"
